surveynum,country,year,issue,data issue,gps issue,change expected,last manual check
23,botswana,1988,,restricted data,not collected,no,04/02/2019
73,eritrea,1995,,restricted data,not collected,no,04/02/2019
103,yemen,1997,,restricted data,not collected,no,04/02/2019
179,turkmenistan,2000,,not in public domain,not collected,no,04/02/2019
160,mauritania,2000,,restricted data,not collected,no,04/02/2019
170,eritrea,2002,,restricted data,restricted data,no,04/02/2019
224,uganda,2004,,restricted data,not collected,no,04/02/2019
525,albania,2017,,we don't care about it,we are not approved for gps,no,04/02/2019
101,cameroon,1998,,no issue,not distributed,no,04/02/2019
115,kenya,1998,,no issue,not distributed,no,04/02/2019
165,rwanda,2000,,no issue,not distributed,no,04/02/2019
206,zambia,2002,,no issue,incomplete and not distributed,no,04/02/2019
207,madagascar,2004,"GPS ""not yet available""!",no issue,not yet available,potential,04/02/2019
262,armenia,2005,got data but GPS not distributed,no issue,not distributed,no,04/02/2019
277,niger,2006,got data but GPS not distributed,no issue,not distributed,no,04/02/2019
358,yemen,2013,got data but GPS not distributed,no issue,not distributed,no,04/02/2019
407,niger,2012,got data but GPS not distributed,no issue,not distributed,no,04/02/2019
419,pakistan,2012,got data but GPS not distributed,no issue,not distributed,no,04/02/2019
426,peru,2010,"GPS ""not yet available""!",no issue,not yet available,potential,04/02/2019
433,peru,2011,"GPS ""not yet available""!",no issue,not yet available,potential,04/02/2019
434,peru,2012,"GPS ""not yet available""!",no issue,not yet available,potential,04/02/2019
471,afghanistan,2015,"GPS ""not yet available""!",no issue,not yet available,yes,04/02/2019
534,senegal,2017,"GPS ""not yet available""!",no issue,not yet available,yes,04/02/2019
82,tanzania,1996,got data but GPS not distributed,no issue,not distributed,no,04/02/2019
