svyid,filecode,record,number
100,VNIR31,RECH0,7150
100,VNIR31,RECH2,7001
101,CMIR31,RECH0,5011
101,CMIR31,RECH2,4697
105,MZIR31,RECH0,11059
105,MZIR31,RECH2,9282
106,CIGE3BFL,,140
106,CIIR3A,RECH0,2302
106,CIIR3A,RECH2,2122
109,KYIR31,RECH0,3821
109,KYIR31,RECH2,3672
110,MDGE32FL,,269
110,MDIR31,RECH0,7915
110,MDIR31,RECH2,7171
111,PHIR3B,RECH0,13708
111,PHIR3B,RECH2,12407
112,NCIR31,RECH0,12783
112,NCIR31,RECH2,11528
113,ZAIR31,RECH0,12860
113,ZAIR31,RECH2,12247
114,TGGE32FL,,288
114,TGIR31,RECH0,8052
114,TGIR31,RECH2,7517
115,KEIR3A,RECH0,9465
115,KEIR3A,RECH2,8380
116,BFGE32FL,,210
116,BFIR31,RECH0,5133
116,BFIR31,RECH2,4812
135,BDGE42FL,,341
135,BDIR41,RECH0,10268
135,BDIR41,RECH2,9854
140,KHGE43FL,,471
140,KHIR42,RECH0,12810
140,KHIR42,RECH2,12236
141,COIR41,RECH0,12659
141,COIR41,RECH2,10907
142,DRIR41,RECH0,1633
142,DRIR41,RECH2,1381
145,EGGE42FL,,1000
145,EGIR42,RECH0,17521
145,EGIR42,RECH2,16957
147,ETGE42FL,,539
147,etir41,RECH0,14642
147,etir41,RECH2,14072
148,GAIR41,RECH0,6761
148,GAIR41,RECH2,6203
151,GHGE42FL,,400
151,GHIR41,RECH0,6375
151,GHIR41,RECH2,6003
152,GUIR41,RECH0,6652
152,GUIR41,RECH2,5587
154,GNGE42FL,,293
154,GNIR41,RECH0,5465
154,GNIR41,RECH2,5090
155,HTGE42FL,,317
155,htIr42,RECH0,9831
155,htIr42,RECH2,9595
156,APIR42,RECH0,4034
156,APIR42,RECH2,3872
156,ARIR42,RECH0,1601
156,ARIR42,RECH2,1419
156,ASIR42,RECH0,3291
156,ASIR42,RECH2,3121
156,BHIR42,RECH0,6634
156,BHIR42,RECH2,6345
156,DLIR42,RECH0,3063
156,DLIR42,RECH2,2763
156,GJIR42,RECH0,4153
156,GJIR42,RECH2,3932
156,GOIR42,RECH0,1736
156,GOIR42,RECH2,1599
156,HPIR42,RECH0,3533
156,HPIR42,RECH2,3443
156,HRIR42,RECH0,2949
156,HRIR42,RECH2,2841
156,IAIR42,RECH0,98639
156,IAIR42,RECH2,92486
156,JMIR42,RECH0,2952
156,JMIR42,RECH2,2786
156,KAIR42,RECH0,4602
